district,status,zone
Jaunpur,MISSING,NEEDS_MAPPING
Jehanabad,MISSING,NEEDS_MAPPING
Jhabua,MISSING,NEEDS_MAPPING
Jhajjar,MISSING,NEEDS_MAPPING
Jhalawar,MISSING,NEEDS_MAPPING
Jhansi,MISSING,NEEDS_MAPPING
Jharsuguda,MISSING,NEEDS_MAPPING
Jhunjhunun,MISSING,NEEDS_MAPPING
Jind,MISSING,NEEDS_MAPPING
Jodhpur,MISSING,NEEDS_MAPPING
Jorhat,MISSING,NEEDS_MAPPING
Junagadh,MISSING,NEEDS_MAPPING
Jyotiba Phule Nagar,MISSING,NEEDS_MAPPING
Kabeerdham,MISSING,NEEDS_MAPPING
Kachchh,MISSING,NEEDS_MAPPING
Kaimur (bhabua),MISSING,NEEDS_MAPPING
Kaithal,MISSING,NEEDS_MAPPING
Kalahandi,MISSING,NEEDS_MAPPING
Kamrup,MISSING,NEEDS_MAPPING
Kamrup Metropolitan,MISSING,NEEDS_MAPPING
Kancheepuram,MISSING,NEEDS_MAPPING
Kandhamal,MISSING,NEEDS_MAPPING
Kangra,MISSING,NEEDS_MAPPING
Kannauj,MISSING,NEEDS_MAPPING
Kanniyakumari,MISSING,NEEDS_MAPPING
Kannur,MISSING,NEEDS_MAPPING
Kanpur Dehat,MISSING,NEEDS_MAPPING
Kanpur Nagar,MISSING,NEEDS_MAPPING
Kansiram Nagar,MISSING,NEEDS_MAPPING
Kapurthala,MISSING,NEEDS_MAPPING
Karaikal,MISSING,NEEDS_MAPPING
Karauli,MISSING,NEEDS_MAPPING
Karbi Anglong,MISSING,NEEDS_MAPPING
Kargil,MISSING,NEEDS_MAPPING
Karimganj,MISSING,NEEDS_MAPPING
Karimnagar,MISSING,NEEDS_MAPPING
Karnal,MISSING,NEEDS_MAPPING
Karur,MISSING,NEEDS_MAPPING
Kasaragod,MISSING,NEEDS_MAPPING
Kathua,MISSING,NEEDS_MAPPING
Katihar,MISSING,NEEDS_MAPPING
Katni,MISSING,NEEDS_MAPPING
Kaushambi,MISSING,NEEDS_MAPPING
Kendrapara,MISSING,NEEDS_MAPPING
Kendujhar,MISSING,NEEDS_MAPPING
Khagaria,MISSING,NEEDS_MAPPING
Khammam,MISSING,NEEDS_MAPPING
Kheda,MISSING,NEEDS_MAPPING
Kheri,MISSING,NEEDS_MAPPING
Khordha,MISSING,NEEDS_MAPPING
Khunti,MISSING,NEEDS_MAPPING
Kinnaur,MISSING,NEEDS_MAPPING
Kiphire,MISSING,NEEDS_MAPPING
Kishanganj,MISSING,NEEDS_MAPPING
Kishtwar,MISSING,NEEDS_MAPPING
Koch Bihar,MISSING,NEEDS_MAPPING
Kodagu,MATCH,SOUTHERN DRY
Kodarma,MISSING,NEEDS_MAPPING
Kohima,MISSING,NEEDS_MAPPING
Kokrajhar,MISSING,NEEDS_MAPPING
Kolar,MATCH,EASTERN DRY
Kolasib,MISSING,NEEDS_MAPPING
Kolhapur,MISSING,NEEDS_MAPPING
Kolkata,MISSING,NEEDS_MAPPING
Kollam,MISSING,NEEDS_MAPPING
Koppal,MATCH,NORTH EAST DRY
Koraput,MISSING,NEEDS_MAPPING
Korba,MISSING,NEEDS_MAPPING
Koriya,MISSING,NEEDS_MAPPING
Kota,MISSING,NEEDS_MAPPING
Kottayam,MISSING,NEEDS_MAPPING
Kozhikode,MISSING,NEEDS_MAPPING
Krishna,MISSING,NEEDS_MAPPING
Krishnagiri,MISSING,NEEDS_MAPPING
Kulgam,MISSING,NEEDS_MAPPING
Kullu,MISSING,NEEDS_MAPPING
Kupwara,MISSING,NEEDS_MAPPING
Kurnool,MISSING,NEEDS_MAPPING
Kurukshetra,MISSING,NEEDS_MAPPING
Kurung Kumey,MISSING,NEEDS_MAPPING
Kushinagar,MISSING,NEEDS_MAPPING
Lahul & Spiti,MISSING,NEEDS_MAPPING
Lakhimpur,MISSING,NEEDS_MAPPING
Lakhisarai,MISSING,NEEDS_MAPPING
Lakshadweep,MISSING,NEEDS_MAPPING
Lalitpur,MISSING,NEEDS_MAPPING
Latehar,MISSING,NEEDS_MAPPING
Latur,MISSING,NEEDS_MAPPING
Lawangtlai,MISSING,NEEDS_MAPPING
Leh (ladakh),MISSING,NEEDS_MAPPING
Lohardaga,MISSING,NEEDS_MAPPING
Lohit,MISSING,NEEDS_MAPPING
Longleng,MISSING,NEEDS_MAPPING
Lower Dibang Valley,MISSING,NEEDS_MAPPING
Lower Subansiri,MISSING,NEEDS_MAPPING
Lucknow,MISSING,NEEDS_MAPPING
Ludhiana,MISSING,NEEDS_MAPPING
Lunglei,MISSING,NEEDS_MAPPING
Madhepura,MISSING,NEEDS_MAPPING
Madhubani,MISSING,NEEDS_MAPPING
Madurai,MISSING,NEEDS_MAPPING
Mahamaya Nagar,MISSING,NEEDS_MAPPING
Maharajganj,MISSING,NEEDS_MAPPING
Mahasamund,MISSING,NEEDS_MAPPING
Mahbubnagar,MISSING,NEEDS_MAPPING
Mahe,MISSING,NEEDS_MAPPING
Mahendragarh,MISSING,NEEDS_MAPPING
Mahesana,MISSING,NEEDS_MAPPING
Mahoba,MISSING,NEEDS_MAPPING
Mainpuri,MISSING,NEEDS_MAPPING
Malappuram,MISSING,NEEDS_MAPPING
Maldah,MISSING,NEEDS_MAPPING
Malkangiri,MISSING,NEEDS_MAPPING
Mamit,MISSING,NEEDS_MAPPING
Mandi,MISSING,NEEDS_MAPPING
Mandla,MISSING,NEEDS_MAPPING
Mandsaur,MISSING,NEEDS_MAPPING
Mandya,MATCH,SOUTHERN DRY
Mansa,MISSING,NEEDS_MAPPING
Marigaon,MISSING,NEEDS_MAPPING
Mathura,MISSING,NEEDS_MAPPING
Mau,MISSING,NEEDS_MAPPING
Mayurbhanj,MISSING,NEEDS_MAPPING
Medak,MISSING,NEEDS_MAPPING
Meerut,MISSING,NEEDS_MAPPING
Mewat,MISSING,NEEDS_MAPPING
Mirzapur,MISSING,NEEDS_MAPPING
Moga,MISSING,NEEDS_MAPPING
Mokokchung,MISSING,NEEDS_MAPPING
Mon,MISSING,NEEDS_MAPPING
Moradabad,MISSING,NEEDS_MAPPING
Morena,MISSING,NEEDS_MAPPING
Muktsar,MISSING,NEEDS_MAPPING
Mumbai,MISSING,NEEDS_MAPPING
Mumbai Suburban,MISSING,NEEDS_MAPPING
Munger,MISSING,NEEDS_MAPPING
Murshidabad,MISSING,NEEDS_MAPPING
Muzaffarnagar,MISSING,NEEDS_MAPPING
Muzaffarpur,MISSING,NEEDS_MAPPING
Mysore,MISSING,NEEDS_MAPPING
Nabarangapur,MISSING,NEEDS_MAPPING
Nadia,MISSING,NEEDS_MAPPING
Nagaon,MISSING,NEEDS_MAPPING
Nagappattinam,MISSING,NEEDS_MAPPING
Nagaur,MISSING,NEEDS_MAPPING
Nagpur,MISSING,NEEDS_MAPPING
Nainital,MISSING,NEEDS_MAPPING
Nalanda,MISSING,NEEDS_MAPPING
Nalbari,MISSING,NEEDS_MAPPING
Nalgonda,MISSING,NEEDS_MAPPING
Namakkal,MISSING,NEEDS_MAPPING
Nanded,MISSING,NEEDS_MAPPING
Nandurbar,MISSING,NEEDS_MAPPING
Narayanpur,MISSING,NEEDS_MAPPING
Narmada,MISSING,NEEDS_MAPPING
Narsimhapur,MISSING,NEEDS_MAPPING
Nashik,MISSING,NEEDS_MAPPING
Navsari,MISSING,NEEDS_MAPPING
Nawada,MISSING,NEEDS_MAPPING
Nayagarh,MISSING,NEEDS_MAPPING
Neemuch,MISSING,NEEDS_MAPPING
New Delhi,MISSING,NEEDS_MAPPING
Nicobar,MISSING,NEEDS_MAPPING
Nizamabad,MISSING,NEEDS_MAPPING
North,MISSING,NEEDS_MAPPING
North & Middle Andaman,MISSING,NEEDS_MAPPING
North 24 Parganas,MISSING,NEEDS_MAPPING
North East,MISSING,NEEDS_MAPPING
North Goa,MISSING,NEEDS_MAPPING
North Tripura,MISSING,NEEDS_MAPPING
North West,MISSING,NEEDS_MAPPING
Nuapada,MISSING,NEEDS_MAPPING
Osmanabad,MISSING,NEEDS_MAPPING
Pakur,MISSING,NEEDS_MAPPING
Palakkad,MISSING,NEEDS_MAPPING
Palamu,MISSING,NEEDS_MAPPING
Pali,MISSING,NEEDS_MAPPING
Palwal,MISSING,NEEDS_MAPPING
Panch Mahals,MISSING,NEEDS_MAPPING
Panchkula,MISSING,NEEDS_MAPPING
Panipat,MISSING,NEEDS_MAPPING
Panna,MISSING,NEEDS_MAPPING
Papum Pare,MISSING,NEEDS_MAPPING
Parbhani,MISSING,NEEDS_MAPPING
Pashchim Champaran,MISSING,NEEDS_MAPPING
Pashchim Medinipur,MISSING,NEEDS_MAPPING
Pashchimi Singhbhum,MISSING,NEEDS_MAPPING
Patan,MISSING,NEEDS_MAPPING
Pathanamthitta,MISSING,NEEDS_MAPPING
Patiala,MISSING,NEEDS_MAPPING
Patna,MISSING,NEEDS_MAPPING
Perambalur,MISSING,NEEDS_MAPPING
Peren,MISSING,NEEDS_MAPPING
Phek,MISSING,NEEDS_MAPPING
Pilibhit,MISSING,NEEDS_MAPPING
Pithoragarh,MISSING,NEEDS_MAPPING
Porbandar,MISSING,NEEDS_MAPPING
Prakasam,MISSING,NEEDS_MAPPING
