Vachellia nilotica
Lower Threshold: 0.0055,     	Prevalence: 0.0006525995214270176 (3 / 4597)
Lower Threshold: 0.0056,     	Prevalence: 0.0016242555495397943 (3 / 1847)
Lower Threshold: 0.0057,     	Prevalence: 0.003787878787878788 (1 / 264)
Lower Threshold: 0.0058,     	Prevalence: 0.0 (0 / 5)

Cassia fistula
Lower Threshold: 0,     	Prevalence: 0.00043078690407811603 (3 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.0005535055350553505 (3 / 5420)
Lower Threshold: 0.0054,     	Prevalence: 0.0005832604257801109 (2 / 3429)
Lower Threshold: 0.0055,     	Prevalence: 0.001366120218579235 (2 / 1464)
Lower Threshold: 0.0056,     	Prevalence: 0.005988023952095809 (2 / 334)
Lower Threshold: 0.0057,     	Prevalence: 0.09523809523809523 (2 / 21)
Lower Threshold: 0.0058,     	Prevalence: 1.0 (2 / 2)
Lower Threshold: 0.0059,     	Prevalence: 1.0 (2 / 2)
Lower Threshold: 0.006,     	Prevalence: 1.0 (2 / 2)

Ficus benjamina
Lower Threshold: 0,     	Prevalence: 0.0002871912693854107 (2 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.0002875215641173088 (1 / 3478)
Lower Threshold: 0.0054,     	Prevalence: 0.0 (0 / 1467)
Lower Threshold: 0.0055,     	Prevalence: 0.0 (0 / 348)
Lower Threshold: 0.0056,     	Prevalence: 0.0 (0 / 15)

Tecomela Undulata
Lower Threshold: 0,     	Prevalence: 0.00014359563469270534 (1 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.0 (0 / 32)
Lower Threshold: 0.0054,     	Prevalence: 0.0 (0 / 4)
Lower Threshold: 0.0055,     	Prevalence: 0.0 (0 / 2)

Prosopis farcta
Lower Threshold: 0,     	Prevalence: 0.00014359563469270534 (1 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.0003589375448671931 (1 / 2786)
Lower Threshold: 0.0054,     	Prevalence: 0.0 (0 / 1711)
Lower Threshold: 0.0055,     	Prevalence: 0.0 (0 / 865)
Lower Threshold: 0.0056,     	Prevalence: 0.0 (0 / 362)
Lower Threshold: 0.0057,     	Prevalence: 0.0 (0 / 106)
Lower Threshold: 0.0058,     	Prevalence: 0.0 (0 / 16)

Terminalia catappa
Lower Threshold: 0,     	Prevalence: 0.00014359563469270534 (1 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.0 (0 / 442)
Lower Threshold: 0.0054,     	Prevalence: 0.0 (0 / 149)
Lower Threshold: 0.0055,     	Prevalence: 0.0 (0 / 27)
Lower Threshold: 0.0056,     	Prevalence: 0.0 (0 / 6)

Bambusa vulgaris
Lower Threshold: 0,     	Prevalence: 0.00014359563469270534 (1 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.0 (0 / 1447)
Lower Threshold: 0.0054,     	Prevalence: 0.0 (0 / 198)
Lower Threshold: 0.0055,     	Prevalence: 0.0 (0 / 6)

Phoenix sylvestris
Lower Threshold: 0,     	Prevalence: 0.00014359563469270534 (1 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.00023474178403755868 (1 / 4260)
Lower Threshold: 0.0054,     	Prevalence: 0.0003595828838547285 (1 / 2781)
Lower Threshold: 0.0055,     	Prevalence: 0.0007374631268436578 (1 / 1356)
Lower Threshold: 0.0056,     	Prevalence: 0.002386634844868735 (1 / 419)
Lower Threshold: 0.0057,     	Prevalence: 0.010869565217391304 (1 / 92)

Tectona Grandis
Lower Threshold: 0,     	Prevalence: 0.00014359563469270534 (1 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.000327653997378768 (1 / 3052)
Lower Threshold: 0.0054,     	Prevalence: 0.000819672131147541 (1 / 1220)
Lower Threshold: 0.0055,     	Prevalence: 0.0029585798816568047 (1 / 338)
Lower Threshold: 0.0056,     	Prevalence: 0.0 (0 / 65)
Lower Threshold: 0.0057,     	Prevalence: 0.0 (0 / 18)

Terminalia arjuna
Lower Threshold: 0,     	Prevalence: 0.00014359563469270534 (1 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.00016147263038914905 (1 / 6193)
Lower Threshold: 0.0054,     	Prevalence: 0.00022016732716864817 (1 / 4542)
Lower Threshold: 0.0055,     	Prevalence: 0.00041631973355537054 (1 / 2402)
Lower Threshold: 0.0056,     	Prevalence: 0.0013986013986013986 (1 / 715)
Lower Threshold: 0.0057,     	Prevalence: 0.0 (0 / 114)
Lower Threshold: 0.0058,     	Prevalence: 0.0 (0 / 15)
